"","N_iter","ARI","Frobenius_norm","K_diff","Simulation","Inference","N_seeds","Model"
"196",1,0.825598602823481,5469.6,-16,16,"Consensus",100,"Consensus (1, 100)"
"197",10,1,447.600000000001,0,16,"Consensus",100,"Consensus (10, 100)"
"198",100,1,5.90000000000001,0,16,"Consensus",100,"Consensus (100, 100)"
"199",1000,1,8.72000000000001,0,16,"Consensus",100,"Consensus (1000, 100)"
"200",10000,1,3.76000000000002,0,16,"Consensus",100,"Consensus (10000, 100)"
"201",1,0.561065625490691,5240,-20,17,"Consensus",1,"Consensus (1, 1)"
"202",10,0.927501371129216,876,-2,17,"Consensus",1,"Consensus (10, 1)"
"203",100,0.99379271358472,78,-1,17,"Consensus",1,"Consensus (100, 1)"
"204",1000,1,0,0,17,"Consensus",1,"Consensus (1000, 1)"
"205",10000,1,0,0,17,"Consensus",1,"Consensus (10000, 1)"
"206",1,0.821495427652313,4822,-16,17,"Consensus",10,"Consensus (1, 10)"
"207",10,1,503.2,0,17,"Consensus",10,"Consensus (10, 10)"
"208",100,1,16.6,0,17,"Consensus",10,"Consensus (100, 10)"
"209",1000,1,31.8,0,17,"Consensus",10,"Consensus (1000, 10)"
"210",10000,1,7.4,0,17,"Consensus",10,"Consensus (10000, 10)"
"211",1,0.790413189505293,4981.6,-18,17,"Consensus",30,"Consensus (1, 30)"
"212",10,1,491.866666666667,0,17,"Consensus",30,"Consensus (10, 30)"
"213",100,1,37.3333333333334,0,17,"Consensus",30,"Consensus (100, 30)"
"214",1000,1,29.6000000000001,0,17,"Consensus",30,"Consensus (1000, 30)"
"215",10000,1,5.20000000000002,0,17,"Consensus",30,"Consensus (10000, 30)"
"216",1,0.825380596101964,5125.08,-15,17,"Consensus",50,"Consensus (1, 50)"
"217",10,1,501.2,0,17,"Consensus",50,"Consensus (10, 50)"
"218",100,1,40.08,0,17,"Consensus",50,"Consensus (100, 50)"
"219",1000,1,32.2,0,17,"Consensus",50,"Consensus (1000, 50)"
"220",10000,1,17.8,0,17,"Consensus",50,"Consensus (10000, 50)"
"221",1,0.838085488237563,5197.08,-17,17,"Consensus",100,"Consensus (1, 100)"
